Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration(min),Imdb Score,Content Type,Date Added,Season Count
887e9f6c-0581-4e81-adaa-8a3597be9f07,Iyore,A tragic romance unfolds during a teacher's lessons on the Benin empire after they begin to mirror her love life when her childhood love reappears.,Frank Rajah Arase,"Dramas, International Movies, Romantic Movies","Rita Dominic, Joseph Benjamin, Okawa Shaznay, Paul Obazele, Yemi Blaq, Bukky Wright",Nigeria,2015,TV-PG,141,,Movie,"December 20, 2019",
b32633dd-c060-4e70-ae36-5b0949b314cd,Kambili: The Whole 30 Yards,"Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her.",Kayode Kasum,"Comedies, International Movies, Romantic Movies","Nancy Isime, Jide Kene Achufusi, Sharon Ooja, Mawuli Gavor, Venita Akpofure, Koye Kekere Ekun, Elvina Ibru, Uzor Arukwe, Toyin Abraham",Nigeria,2020,TV-14,119,,Movie,"June 18, 2021",
6c372715-82fe-4ca0-8381-3a2231e5349d,Kasanova,"After losing his wife, a single father indulges in flimsy flings until he meets his son's music teacher, who imparts a few lessons on love.",Oluseyi Asurf,"Comedies, International Movies, Romantic Movies","Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",Nigeria,2019,TV-14,117,6.7,Movie,"June 26, 2020",
fd5e71ee-18ca-419a-bd86-55b79ba841f2,King of Boys,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Kemi Adetiba,"Dramas, International Movies","Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2018,TV-MA,182,5.6,Movie,"September 21, 2019",
096bb060-00d2-4aa4-a608-08ac393ca773,Lara and the Beat,"When their glamorous, fast-paced lifestyle comes to a screeching halt, two sisters try to rebuild their fortunes through music and enterprise.",Tosin Coker,"Dramas, International Movies, Music & Musicals","Seyi Shay, Somkele Iyamah, Vector, Chioma Chukwuka Akpotha, Uche Jumbo, Sharon Ooja, Shaffy Bello, Saidi Balogun, Kemi Lala Akindoju, Ademola Adedoyin",Nigeria,2018,TV-MA,140,6.5,Movie,"September 14, 2020",
1e64be96-754f-4376-8335-a2bfd8bea97d,Last Flight to Abuja,"When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events.",Obi Emelonye,"Dramas, International Movies","Omotola Jalade-Ekeinde, Hakeem Kae-Kazim, Jim Iyke, Ali Nuhu, Jide Kosoko, Anthony Monjaro, Jennifer Oguzie, Uru Eke, Celine Loader","Nigeria, United Kingdom",2012,TV-14,76,4.7,Movie,"June 16, 2020",
4a1123a7-ccb1-4125-945f-4943d89bd059,Light in the Dark,A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.,Ekene Som Mekwunye,"Dramas, International Movies","Rita Dominic, Joke Silva, Ngozi Nwosu, Kiki Omeili, Kalu Ikeagwu, Emmanuel Essien, Saidi Balogun",Nigeria,2019,TV-14,105,,Movie,"May 18, 2020",
9c16b3dc-876f-450e-a534-1effe38c2a07,Lionheart,"When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world.",Genevieve Nnaji,"Comedies, Dramas, Independent Movies","Genevieve Nnaji, Nkem Owoh, Pete Edochie, Onyeka Onwenu, Kanayo O. Kanayo",Nigeria,2018,TV-PG,95,5.8,Movie,"January 4, 2019",
8da63346-498b-4697-9778-5e2d59b5cf71,Living in Bondage: Breaking Free,"Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.",Ramsey Nouah,"Horror Movies, International Movies, Thrillers","Swanky JKA, Kenneth Okonkwo, Ramsey Nouah, Enyinna Nwigwe, Nancy Isime, Shawn Faqua, Munachi Abii, Zulu Adigwe",Nigeria,2019,TV-MA,149,5.7,Movie,"May 22, 2020",
f732e916-10ea-41c1-aded-b8275479d4c5,Lost in London,"Nigerian students Okon and Bona experience culture shock – several shocks, really – after being selected for an exchange program in London.",Sunkanmi Adebayo,"Comedies, International Movies","Ime Bishop Umoh, Alexx Ekubo, Stanley Chibunna, Ella Betts, Adi Lev, Kemi Olofinmakin",Nigeria,2017,TV-PG,86,4.6,Movie,"December 21, 2019",
